,demo_url,X,team_1,score,team_2,league,type,date
1,https://www.hltv.org/download/demo/56653,1,Natus Vincere,0 - 2,fnatic,ESL Pro League Season 11 Europe,bo3,9th of April 2020
2,https://www.hltv.org/download/demo/56652,2,FaZe,2 - 0,OG,ESL Pro League Season 11 Europe,bo3,9th of April 2020
3,https://www.hltv.org/download/demo/56651,3,Astralis,2 - 0,mousesports,ESL Pro League Season 11 Europe,bo3,9th of April 2020
4,https://www.hltv.org/download/demo/56631,4,Astralis,2 - 0,OG,ESL Pro League Season 11 Europe,bo3,8th of April 2020
5,https://www.hltv.org/download/demo/56630,5,FaZe,1 - 2,Natus Vincere,ESL Pro League Season 11 Europe,bo3,8th of April 2020
6,https://www.hltv.org/download/demo/56629,6,mousesports,0 - 2,fnatic,ESL Pro League Season 11 Europe,bo3,8th of April 2020
7,https://www.hltv.org/download/demo/56616,7,FaZe,0 - 2,Astralis,ESL Pro League Season 11 Europe,bo3,7th of April 2020
8,https://www.hltv.org/download/demo/56654,8,MAD Lions,2 - 0,FunPlus Phoenix,Flashpoint 1,bo3,9th of April 2020
9,https://www.hltv.orgNA,9,KINGZZZ,0 - 2,Casa de Papel,Swisscom Hero League Season 3,bo3,9th of April 2020
10,https://www.hltv.org/download/demo/56654,10,MAD Lions,2 - 0,FunPlus Phoenix,Flashpoint 1,bo3,9th of April 2020
11,https://www.hltv.org/download/demo/56653,11,Natus Vincere,0 - 2,fnatic,ESL Pro League Season 11 Europe,bo3,9th of April 2020
12,https://www.hltv.org/download/demo/56652,12,FaZe,2 - 0,OG,ESL Pro League Season 11 Europe,bo3,9th of April 2020
13,https://www.hltv.org/download/demo/56650,13,Sprout,2 - 0,Movistar Riders,Home Sweet Home Cup,bo3,9th of April 2020
14,https://www.hltv.org/download/demo/56651,14,Astralis,2 - 0,mousesports,ESL Pro League Season 11 Europe,bo3,9th of April 2020
15,https://www.hltv.org/download/demo/56648,15,SMASH,0 - 2,Nordavind,Cyber.Bet Cup,bo3,9th of April 2020
16,https://www.hltv.org/download/demo/56647,16,Japaleno,1 - 2,North,Home Sweet Home Cup,bo3,9th of April 2020
17,https://www.hltv.org/download/demo/56643,17,SKADE,2 - 0,Endpoint,LOOT.BET Season 6,bo3,9th of April 2020
18,https://www.hltv.org/download/demo/56649,18,Syman,0 - 2,Heretics,Cyber.Bet Cup,bo3,9th of April 2020
19,https://www.hltv.org/download/demo/56642,19,Gambit Youngsters,0 - 2,Heretics,LOOT.BET Season 6,bo3,9th of April 2020
20,https://www.hltv.org/download/demo/56646,20,North,16 - 6,Sprout,Home Sweet Home Cup,nuke,9th of April 2020
21,https://www.hltv.org/download/demo/56644,21,VERTEX,2 - 1,i sleep,LPL Pro League Season 4,bo3,9th of April 2020
22,https://www.hltv.org/download/demo/56645,22,Movistar Riders,4 - 16,Japaleno,Home Sweet Home Cup,ovp,9th of April 2020
23,https://www.hltv.org/download/demo/56641,23,Trivium,2 - 1,Serac,ESEA MDL Season 33 North America Relegation,bo3,9th of April 2020
24,https://www.hltv.org/download/demo/56640,24,Faint,0 - 2,blood, sweat, and tears,ESEA MDL Season 33 North America Relegation,bo3,9th of April 2020
25,https://www.hltv.org/download/demo/56639,25,Thunder Logic,2 - 0,In The Lab,ESEA MDL Season 33 North America Relegation,bo3,9th of April 2020
26,https://www.hltv.org/download/demo/56638,26,AA,2 - 0,Rebel,ESEA MDL Season 33 North America Relegation,bo3,9th of April 2020
27,https://www.hltv.org/download/demo/56637,27,Inf,2 - 1,Serac,ESEA MDL Season 33 North America Relegation,bo3,9th of April 2020
28,https://www.hltv.org/download/demo/56636,28,Oceanus,2 - 1,In The Lab,ESEA MDL Season 33 North America Relegation,bo3,9th of April 2020
29,https://www.hltv.org/download/demo/56635,29,New England Whalers,2 - 0,blood, sweat, and tears,ESEA MDL Season 33 North America Relegation,bo3,9th of April 2020
30,https://www.hltv.org/download/demo/56634,30,AA,0 - 2,ETHEREAL,ESEA MDL Season 33 North America Relegation,bo3,9th of April 2020
31,https://www.hltv.org/download/demo/56631,31,Astralis,2 - 0,OG,ESL Pro League Season 11 Europe,bo3,8th of April 2020
32,https://www.hltv.org/download/demo/56633,32,AGO,0 - 2,Endpoint,Home Sweet Home Cup,bo3,8th of April 2020
33,https://www.hltv.org/download/demo/56630,33,FaZe,1 - 2,Natus Vincere,ESL Pro League Season 11 Europe,bo3,8th of April 2020
34,https://www.hltv.org/download/demo/56632,34,Singularity,0 - 2,Endpoint,Home Sweet Home Cup,bo3,8th of April 2020
35,https://www.hltv.org/download/demo/56628,35,SKADE,2 - 1,AGO,Home Sweet Home Cup,bo3,8th of April 2020
36,https://www.hltv.org/download/demo/56625,36,Hard Legion,0 - 2,Japaleno,LOOT.BET Season 6,bo3,8th of April 2020
37,https://www.hltv.org/download/demo/56623,37,Syman,2 - 0,SMASH,Cyber.Bet Cup,bo3,8th of April 2020
38,https://www.hltv.org/download/demo/56629,38,mousesports,0 - 2,fnatic,ESL Pro League Season 11 Europe,bo3,8th of April 2020
39,https://www.hltv.org/download/demo/56627,39,AGO,25 - 21,Endpoint,Home Sweet Home Cup,trn,8th of April 2020
40,https://www.hltv.org/download/demo/56624,40,Espada,1 - 2,Winstrike,LOOT.BET Season 6,bo3,8th of April 2020
41,https://www.hltv.org/download/demo/56622,41,Nordavind,0 - 2,Heretics,Cyber.Bet Cup,bo3,8th of April 2020
42,https://www.hltv.org/download/demo/56626,42,Singularity,10 - 16,SKADE,Home Sweet Home Cup,nuke,8th of April 2020
43,https://www.hltv.org/download/demo/56621,43,blood, sweat, and tears,2 - 1,Rebel,ESEA MDL Season 33 North America Relegation,bo3,8th of April 2020
44,https://www.hltv.org/download/demo/56620,44,In The Lab,2 - 0,Trivium,ESEA MDL Season 33 North America Relegation,bo3,8th of April 2020
45,https://www.hltv.org/download/demo/56619,45,Thunder Logic,1 - 2,Serac,ESEA MDL Season 33 North America Relegation,bo3,8th of April 2020
46,https://www.hltv.org/download/demo/56618,46,Faint,0 - 2,ETHEREAL,ESEA MDL Season 33 North America Relegation,bo3,8th of April 2020
47,https://www.hltv.org/download/demo/56616,47,FaZe,0 - 2,Astralis,ESL Pro League Season 11 Europe,bo3,7th of April 2020
48,https://www.hltv.org/download/demo/56615,48,SMASH,1 - 2,Spirit,Home Sweet Home Cup,bo3,7th of April 2020
49,https://www.hltv.org/download/demo/56613,49,Casa de Papel,2 - 0,mYinsanity,Swisscom Hero League Season 3,bo3,7th of April 2020
50,https://www.hltv.org/download/demo/56614,50,Movistar Riders,2 - 1,Hard Legion,Cyber.Bet Cup,bo3,7th of April 2020
51,https://www.hltv.org/download/demo/56612,51,KINGZZZ,0 - 2,Red Instinct,Swisscom Hero League Season 3,bo3,7th of April 2020
52,https://www.hltv.org/download/demo/56609,52,FATE,2 - 1,Tricked,ESEA Advanced Season 33 Europe,bo3,7th of April 2020
53,https://www.hltv.org/download/demo/56608,53,Spirit,2 - 1,Syman,Home Sweet Home Cup,bo3,7th of April 2020
54,https://www.hltv.org/download/demo/56611,54,mousesports,2 - 0,Natus Vincere,ESL Pro League Season 11 Europe,bo3,7th of April 2020
55,https://www.hltv.org/download/demo/56607,55,NAVI Junior,2 - 0,Mustang Crew,Cyber.Bet Cup,bo3,7th of April 2020
56,https://www.hltv.org/download/demo/56610,56,OG,2 - 1,fnatic,ESL Pro League Season 11 Europe,bo3,7th of April 2020
57,https://www.hltv.org/download/demo/56605,57,Illuminar,1 - 2,Endpoint,LOOT.BET Season 6,bo3,7th of April 2020
58,https://www.hltv.org/download/demo/56606,58,SMASH,0 - 2,BIG,Home Sweet Home Cup,bo3,7th of April 2020
59,https://www.hltv.org/download/demo/56603,59,BIG,16 - 10,Syman,Home Sweet Home Cup,vtg,7th of April 2020
60,https://www.hltv.org/download/demo/56604,60,Sprout,2 - 0,pro100,LOOT.BET Season 6,bo3,7th of April 2020
61,https://www.hltv.org/download/demo/56602,61,Spirit,5 - 16,SMASH,Home Sweet Home Cup,Inf,7th of April 2020
62,https://www.hltv.org/download/demo/56617,62,Invictus,1 - 2,Lynn Vision,Huya DarkHorse League Season 1,bo3,7th of April 2020
63,https://www.hltv.org/download/demo/56601,63,Serac,2 - 1,Big Chillin,ESEA Advanced Season 33 North America,bo3,7th of April 2020
64,https://www.hltv.org/download/demo/56600,64,FaZe,1 - 2,mousesports,ESL Pro League Season 11 Europe,bo3,6th of April 2020
65,https://www.hltv.org/download/demo/56599,65,Natus Vincere,2 - 1,OG,ESL Pro League Season 11 Europe,bo3,6th of April 2020
66,https://www.hltv.org/download/demo/56597,66,Gambit Youngsters,2 - 1,SMASH,LOOT.BET Season 6,bo3,6th of April 2020
67,https://www.hltv.org/download/demo/56596,67,Endpoint,1 - 3,ALTERNATE aTTaX,ESEA Advanced Season 33 Europe,bo5,6th of April 2020
68,https://www.hltv.org/download/demo/56595,68,Hard Legion,2 - 0,Mustang Crew,Cyber.Bet Cup,bo3,6th of April 2020
69,https://www.hltv.org/download/demo/56598,69,Astralis,1 - 2,fnatic,ESL Pro League Season 11 Europe,bo3,6th of April 2020
70,https://www.hltv.org/download/demo/56594,70,Nemiga,1 - 2,SKADE,LOOT.BET Season 6,bo3,6th of April 2020
71,https://www.hltv.org/download/demo/56593,71,Movistar Riders,2 - 0,NAVI Junior,Cyber.Bet Cup,bo3,6th of April 2020
72,https://www.hltv.org/download/demo/56592,72,Buffdaddy's Paypal,3 - 2,blood, sweat, and tears,ESEA Advanced Season 33 North America,bo5,6th of April 2020
73,https://www.hltv.org/download/demo/56590,73,MIBR,2 - 0,Gen.G,Flashpoint 1,bo3,5th of April 2020
74,https://www.hltv.org/download/demo/56591,74,mousesports,2 - 0,OG,ESL Pro League Season 11 Europe,bo3,5th of April 2020
75,https://www.hltv.org/download/demo/56589,75,MAD Lions,2 - 0,FunPlus Phoenix,Flashpoint 1,bo3,5th of April 2020
76,https://www.hltv.org/download/demo/56588,76,Astralis,1 - 2,Natus Vincere,ESL Pro League Season 11 Europe,bo3,5th of April 2020
77,https://www.hltv.org/download/demo/56586,77,HAVU,2 - 0,Cloud9,Flashpoint 1,bo3,5th of April 2020
78,https://www.hltv.org/download/demo/56584,78,Blink,2 - 0,TRTRR,CSadria Clan Championship Season 4,bo3,5th of April 2020
79,https://www.hltv.org/download/demo/56587,79,FaZe,1 - 2,fnatic,ESL Pro League Season 11 Europe,bo3,5th of April 2020
80,https://www.hltv.org/download/demo/56585,80,AGO,0 - 2,Secret,LOOT.BET Season 6,bo3,5th of April 2020
81,https://www.hltv.org/download/demo/56583,81,Heretics,2 - 1,Nordavind,LOOT.BET Season 6,bo3,5th of April 2020
82,https://www.hltv.org/download/demo/56582,82,SMASH,2 - 0,Legendary Managers,Showmatch CS:GO,bo3,5th of April 2020
83,https://www.hltv.org/download/demo/56581,83,AVANT,3 - 1,ORDER,ESL Australia & NZ Championship Season 10,bo5,5th of April 2020
84,https://www.hltv.org/download/demo/56580,84,ORDER,2 - 1,Ground Zero,ESL Australia & NZ Championship Season 10,bo3,5th of April 2020
85,https://www.hltv.org/download/demo/56578,85,FunPlus Phoenix,2 - 1,c0ntact,Flashpoint 1,bo3,5th of April 2020
86,https://www.hltv.org/download/demo/56579,86,AVANT,2 - 0,Airborne,ESL Australia & NZ Championship Season 10,bo3,5th of April 2020
87,https://www.hltv.org/download/demo/56577,87,Vitality,1 - 2,OG,ESL Pro League Season 11 Europe,bo3,4th of April 2020
88,https://www.hltv.org/download/demo/56576,88,Dignitas,0 - 2,Gen.G,Flashpoint 1,bo3,4th of April 2020
89,https://www.hltv.org/download/demo/56575,89,Cloud9,2 - 1,Envy,Flashpoint 1,bo3,4th of April 2020
90,https://www.hltv.org/download/demo/56574,90,fnatic,2 - 1,NiP,ESL Pro League Season 11 Europe,bo3,4th of April 2020
91,https://www.hltv.org/download/demo/56572,91,Secret,2 - 1,Singularity,LOOT.BET Season 6 Closed Qualifier,bo3,4th of April 2020
92,https://www.hltv.org/download/demo/56573,92,FaZe,2 - 0,forZe,ESL Pro League Season 11 Europe,bo3,4th of April 2020
93,https://www.hltv.org/download/demo/56569,93,Singularity,2 - 1,BLUEJAYS,LOOT.BET Season 6 Closed Qualifier,bo3,4th of April 2020
94,https://www.hltv.org/download/demo/56571,94,Airborne,2 - 3,Ground Zero,ESL Australia & NZ Championship Season 10,bo5,4th of April 2020
95,https://www.hltv.org/download/demo/56570,95,Rooster,1 - 2,Ground Zero,ESL Australia & NZ Championship Season 10,bo3,4th of April 2020
96,https://www.hltv.org/download/demo/56568,96,Airborne,2 - 1,Ground Zero,ESL Australia & NZ Championship Season 10,bo3,4th of April 2020
97,https://www.hltv.org/download/demo/56567,97,Liquid,2 - 1,Evil Geniuses,ESL Pro League Season 11 North America,bo3,3rd of April 2020
98,https://www.hltv.org/download/demo/56566,98,100 Thieves,1 - 2,FURIA,ESL Pro League Season 11 North America,bo3,3rd of April 2020
99,https://www.hltv.org/download/demo/56565,99,Swole Patrol,0 - 2,MIBR,ESL Pro League Season 11 North America,bo3,3rd of April 2020
100,https://www.hltv.org/download/demo/56562,100,mousesports,2 - 0,G2,ESL Pro League Season 11 Europe,bo3,3rd of April 2020
101,https://www.hltv.org/download/demo/56561,101,FaZe,2 - 0,OG,ESL Pro League Season 11 Europe,bo3,3rd of April 2020
102,https://www.hltv.org/download/demo/56560,102,Virtus.pro,2 - 0,TYLOO,ESL Pro League Season 11 Europe,bo3,3rd of April 2020
103,https://www.hltv.org/download/demo/56564,103,FATE,0 - 2,Unique,ESEA Advanced Season 33 Europe,bo3,3rd of April 2020
104,https://www.hltv.org/download/demo/56563,104,Apeks,2 - 0,Tricked,ESEA Advanced Season 33 Europe,bo3,3rd of April 2020
105,https://www.hltv.org/download/demo/56559,105,BLUEJAYS,0 - 2,Secret,LOOT.BET Season 6 Closed Qualifier,bo3,3rd of April 2020
106,https://www.hltv.org/download/demo/56558,106,Singularity,2 - 1,Mustang Crew,LOOT.BET Season 6 Closed Qualifier,bo3,3rd of April 2020
107,https://www.hltv.org/download/demo/56557,107,Faint,0 - 2,blood, sweat, and tears,ESEA Advanced Season 33 North America,bo3,3rd of April 2020
108,https://www.hltv.org/download/demo/56556,108,MAD Lions,2 - 0,c0ntact,Flashpoint 1,bo3,2nd of April 2020
109,https://www.hltv.org/download/demo/56555,109,Evil Geniuses,2 - 1,MIBR,ESL Pro League Season 11 North America,bo3,2nd of April 2020
110,https://www.hltv.org/download/demo/56553,110,ALTERNATE aTTaX,2 - 0,Salamander,ESEA Advanced Season 33 Europe,bo3,2nd of April 2020
111,https://www.hltv.org/download/demo/56552,111,Chaos,1 - 2,FunPlus Phoenix,Flashpoint 1,bo3,2nd of April 2020
112,https://www.hltv.org/download/demo/56554,112,FURIA,0 - 2,Swole Patrol,ESL Pro League Season 11 North America,bo3,2nd of April 2020
113,https://www.hltv.org/download/demo/56551,113,Espada,1 - 3,SKADE,SECTOR: MOSTBET Season 2,bo5,2nd of April 2020
114,https://www.hltv.org/download/demo/56550,114,Virtus.pro,2 - 1,OG,ESL Pro League Season 11 Europe,bo3,2nd of April 2020
115,https://www.hltv.org/download/demo/56549,115,Secret,2 - 1,Singularity,LOOT.BET Season 6 Closed Qualifier,bo3,2nd of April 2020
116,https://www.hltv.org/download/demo/56547,116,Mustang Crew,0 - 2,BLUEJAYS,LOOT.BET Season 6 Closed Qualifier,bo3,2nd of April 2020
117,https://www.hltv.org/download/demo/56548,117,VERTEX,1 - 2,Rooster,LPL Pro League Season 4,bo3,2nd of April 2020
118,https://www.hltv.org/download/demo/56546,118,blood, sweat, and tears,2 - 1,ETHEREAL,ESEA Advanced Season 33 North America,bo3,2nd of April 2020
119,https://www.hltv.org/download/demo/56545,119,Buffdaddy's Paypal,2 - 0,Faint,ESEA Advanced Season 33 North America,bo3,2nd of April 2020
120,https://www.hltv.org/download/demo/56544,120,Asterius,2 - 0,Red Feet,ESEA Open Season 33 Brazil,bo3,2nd of April 2020
121,https://www.hltv.org/download/demo/56543,121,Gen.G,1 - 2,MIBR,Flashpoint 1,bo3,1st of April 2020
122,https://www.hltv.org/download/demo/56542,122,Evil Geniuses,2 - 1,FURIA,ESL Pro League Season 11 North America,bo3,1st of April 2020
123,https://www.hltv.org/download/demo/56541,123,Dignitas,2 - 1,Orgless,Flashpoint 1,bo3,1st of April 2020
124,https://www.hltv.org/download/demo/56540,124,Tricked,1 - 2,SKADE,SECTOR: MOSTBET Season 2,bo3,1st of April 2020
125,https://www.hltv.org/download/demo/56539,125,Goliath,2 - 0,Big 5,ESEA Open Season 33 South Africa,bo3,1st of April 2020
126,https://www.hltv.org/download/demo/56538,126,G2,2 - 0,Virtus.pro,ESL Pro League Season 11 Europe,bo3,1st of April 2020
127,https://www.hltv.org/download/demo/56537,127,Pompa,1 - 2,SKADE,SECTOR: MOSTBET Season 2,bo3,1st of April 2020
128,https://www.hltv.org/download/demo/56536,128,mousesports,2 - 0,TYLOO,ESL Pro League Season 11 Europe,bo3,1st of April 2020
129,https://www.hltv.org/download/demo/56535,129,Paradox,0 - 2,i sleep,LPL Pro League Season 4,bo3,1st of April 2020
130,https://www.hltv.org/download/demo/56534,130,100 Thieves,0 - 2,MIBR,ESL Pro League Season 11 North America,bo3,31st of March 2020
131,https://www.hltv.org/download/demo/56533,131,SKADE,0 - 2,Salamander,ESEA Advanced Season 33 Europe,bo3,31st of March 2020
132,https://www.hltv.org/download/demo/56532,132,HAVU,2 - 0,Envy,Flashpoint 1,bo3,31st of March 2020
133,https://www.hltv.org/download/demo/56531,133,ALTERNATE aTTaX,1 - 2,Endpoint,ESEA Advanced Season 33 Europe,bo3,31st of March 2020
134,https://www.hltv.org/download/demo/56529,134,Cloud9,2 - 0,Copenhagen Flames,Flashpoint 1,bo3,31st of March 2020
135,https://www.hltv.org/download/demo/56530,135,mousesports,2 - 0,Virtus.pro,ESL Pro League Season 11 Europe,bo3,31st of March 2020
136,https://www.hltv.org/download/demo/56528,136,G2,0 - 2,OG,ESL Pro League Season 11 Europe,bo3,31st of March 2020
137,https://www.hltv.org/download/demo/56527,137,Tricked,0 - 2,Espada,SECTOR: MOSTBET Season 2,bo3,31st of March 2020
138,https://www.hltv.org/download/demo/56526,138,ETHEREAL,2 - 1,Trivium,ESEA Advanced Season 33 North America,bo3,31st of March 2020
139,https://www.hltv.org/download/demo/56525,139,blood, sweat, and tears,2 - 0,timbermen,ESEA Advanced Season 33 North America,bo3,31st of March 2020
140,https://www.hltv.org/download/demo/56524,140,FURIA,2 - 1,MIBR,ESL Pro League Season 11 North America,bo3,30th of March 2020
141,https://www.hltv.org/download/demo/56523,141,Evil Geniuses,2 - 0,Swole Patrol,ESL Pro League Season 11 North America,bo3,30th of March 2020
142,https://www.hltv.org/download/demo/56522,142,FaZe,2 - 0,Virtus.pro,ESL Pro League Season 11 Europe,bo3,30th of March 2020
143,https://www.hltv.org/download/demo/56521,143,timbermen,2 - 1,Big Chillin,ESEA Advanced Season 33 North America,bo3,30th of March 2020
144,https://www.hltv.org/download/demo/56520,144,Yeah,3 - 2,AA,eFire Master League North America,bo5,30th of March 2020
145,https://www.hltv.org/download/demo/56519,145,Asterius,0 - 2,ex-UP,Liga DELL #3 - MAR/20,bo3,30th of March 2020
146,https://www.hltv.org/download/demo/56518,146,FunPlus Phoenix,1 - 2,c0ntact,Flashpoint 1,bo3,29th of March 2020
147,https://www.hltv.org/download/demo/56517,147,Rysix,0 - 2,ex-UP,Liga DELL #3 - MAR/20,bo3,30th of March 2020
148,https://www.hltv.org/download/demo/56516,148,Liquid,1 - 2,FURIA,ESL Pro League Season 11 North America,bo3,29th of March 2020
149,https://www.hltv.org/download/demo/56515,149,Vexed,1 - 2,Salamander,ESEA Advanced Season 33 Europe,bo3,29th of March 2020
150,https://www.hltv.org/download/demo/56514,150,MAD Lions,2 - 0,Chaos,Flashpoint 1,bo3,29th of March 2020
151,https://www.hltv.org/download/demo/56510,151,G2,2 - 1,FaZe,ESL Pro League Season 11 Europe,bo3,29th of March 2020
152,https://www.hltv.org/download/demo/56509,152,Prima,1 - 2,SKADE,ESEA Advanced Season 33 Europe,bo3,29th of March 2020
153,https://www.hltv.org/download/demo/56508,153,Akatsuki,3 - 2,NoSurrender,Baltic Masters Season 4 Finals,bo5,29th of March 2020
154,https://www.hltv.org/download/demo/56507,154,Hard Legion,3 - 0,1WIN,MEGOGO Open,bo5,29th of March 2020
155,https://www.hltv.org/download/demo/56506,155,mousesports,1 - 2,OG,ESL Pro League Season 11 Europe,bo3,29th of March 2020
